Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
259.737710	1.72000000	1.58821910	0.629636048	2307.56450	3390.53850	39.7123110	10.0082228	14.1807223	1245.52494	-0.225987967	8.10610755	0.168772604	supercritical
260.381115	1.72000000	1.58431459	0.631187773	2314.02068	3399.66365	39.7473997	10.0122649	14.1844494	1246.96250	-0.227580374	8.11987488	0.169104657	supercritical
261.024520	1.72000000	1.58042938	0.632739441	2320.47935	3408.79119	39.7824110	10.0162699	14.1881419	1248.39873	-0.229163421	8.13363194	0.169436235	supercritical
261.667925	1.72000000	1.57656331	0.634291051	2326.94048	3417.92109	39.8173452	10.0202382	14.1918002	1249.83362	-0.230737193	8.14737877	0.169767341	supercritical
262.311330	1.72000000	1.57271626	0.635842604	2333.40405	3427.05333	39.8522024	10.0241700	14.1954245	1251.26719	-0.232301772	8.16111540	0.170097977	supercritical
262.954735	1.72000000	1.56888807	0.637394101	2339.87004	3436.18789	39.8869832	10.0280655	14.1990149	1252.69944	-0.233857243	8.17484187	0.170428143	supercritical
263.598140	1.72000000	1.56507861	0.638945542	2346.33842	3445.32476	39.9216876	10.0319251	14.2025719	1254.13036	-0.235403686	8.18855821	0.170757843	supercritical
264.241545	1.72000000	1.56128774	0.640496928	2352.80918	3454.46390	39.9563161	10.0357490	14.2060955	1255.55997	-0.236941181	8.20226446	0.171087077	supercritical
264.884950	1.72000000	1.55751532	0.642048258	2359.28229	3463.60529	39.9908689	10.0395374	14.2095861	1256.98827	-0.238469809	8.21596066	0.171415848	supercritical
265.528355	1.72000000	1.55376122	0.643599534	2365.75773	3472.74893	40.0253463	10.0432907	14.2130439	1258.41525	-0.239989648	8.22964683	0.171744158	supercritical
266.171760	1.72000000	1.55002531	0.645150756	2372.23548	3481.89477	40.0597486	10.0470091	14.2164691	1259.84093	-0.241500776	8.24332302	0.172072008	supercritical
266.815165	1.72000000	1.54630745	0.646701924	2378.71551	3491.04282	40.0940761	10.0506929	14.2198620	1261.26531	-0.243003268	8.25698925	0.172399401	supercritical
